Measure,Year,Value
avg,1968,9.2
max,1968,10.5
min,1968,8
avg,1969,9.25
max,1969,11.7
min,1969,7.6
avg,1970,8.825
max,1970,10.2
min,1970,7.3
avg,1971,9.742857143
max,1971,12.6
min,1971,7.9
avg,1972,9.864285714
max,1972,12.6
min,1972,8.1
avg,1973,10.4875
max,1973,13.2
min,1973,8.7
avg,1974,10.5125
max,1974,13.2
min,1974,9
avg,1975,11.04444444
max,1975,14.6
min,1975,8.3
avg,1976,11.08888889
max,1976,12.6
min,1976,8.7
avg,1977,11.02222222
max,1977,13.7
min,1977,8.3
avg,1978,11.21666667
max,1978,13.7
min,1978,8.8
avg,1979,11.91176471
max,1979,15.6
min,1979,9.6
avg,1980,11.97142857
max,1980,13.9
min,1980,9.4
avg,1981,12.64761905
max,1981,15.2
min,1981,10.2
avg,1982,12.92857143
max,1982,15.6
min,1982,10.1
avg,1983,12.63333333
max,1983,15.9
min,1983,10.6
avg,1984,12.88571429
max,1984,17.1
min,1984,11
avg,1985,12.72380952
max,1985,15.5
min,1985,10.7
avg,1986,12.77142857
max,1986,16.1
min,1986,11
avg,1987,12.24285714
max,1987,15.8
min,1987,11.2
avg,1988,12.19047619
max,1988,15.5
min,1988,9.8
avg,1989,12.35238095
max,1989,15.2
min,1989,10.3
avg,1990,12.18095238
max,1990,14.3
min,1990,10.4
avg,1991,11.58095238
max,1991,14.2
min,1991,10
avg,1992,11.41818182
max,1992,13.5
min,1992,9.4
avg,1993,11.68333333
max,1993,13.9
min,1993,8.9
avg,1994,10.68846154
max,1994,12.2
min,1994,8.9
avg,1995,10.18846154
max,1995,12.9
min,1995,8.9
avg,1996,10.38846154
max,1996,13.7
min,1996,8.2
avg,1997,9.803846154
max,1997,11.8
min,1997,8.3
avg,1998,9.65
max,1998,11.6
min,1998,7.2
avg,1999,9.455555556
max,1999,11.6
min,1999,8.1
avg,2000,9.832142857
max,2000,11.5
min,2000,8
avg,2001,9.923333333
max,2001,11.7
min,2001,8.2
avg,2002,9.483333333
max,2002,11.1
min,2002,8
avg,2003,9.363333333
max,2003,11.1
min,2003,7.1
avg,2004,9.166666667
max,2004,10.8
min,2004,7.2
avg,2006,10.09333333
max,2006,11.4
min,2006,8.3
avg,2007,9.746666667
max,2007,12.3
min,2007,8.6
avg,2008,9.383333333
max,2008,10.8
min,2008,7.8
avg,2009,9.44
max,2009,10.9
min,2009,7.5
avg,2010,9.13
max,2010,11.6
min,2010,7.5
avg,2011,8.986666667
max,2011,10.1
min,2011,7.3
avg,2012,8.943333333
max,2012,10.4
min,2012,7.5
avg,2013,9.15
max,2013,11.5
min,2013,7
avg,2014,8.906666667
max,2014,10.2
min,2014,7
avg,2015,8.896666667
max,2015,10.7
min,2015,6.9
avg,2016,8.973333333
max,2016,10.1
min,2016,7.6
avg,2017,9.013333333
max,2017,10.5
min,2017,7.2
