Player Name	Position Name	Max. Goals in Max S% Year	Max. S%
Joe Zanussi	Defender	1	1.3
Serge Lajeunesse	Defender	1	1.3
Bill Berg	Center	1	1.4
Dave Reid	Right Wing	1	1.5
Jim Fahey	Defender	1	1.5
Stephen Gionta	Center	1	1.6
John Arbour	Defender	1	1.8
Anton Belov	Defender	1	1.9
Kevin Gravel	Defender	1	1.9
Stewart Malgunas	Defender	1	1.9
Timo Blomqvist	Defender	1	1.9
Vladimir Vujtek	Left Wing	1	2
John McCarthy	Center	1	2
Don Spring	Defender	1	2
Brendan Mikkelson	Defender	1	2.2
John Bednarski	Defender	1	2.2
Ryan Sproul	Defender	1	2.2
Brandon McMillan	Center	1	2.3
Paul Mulvey	Right Wing	1	2.3
Craig MacDonald	Left Wing	1	2.3
Duke Harris	Right Wing	1	2.3
Radim Bicanek	Defender	1	2.3
Shane Endicott	Center	1	2.3
Tom Thornbury	Defender	1	2.3
Dean Kolstad	Defender	1	2.4
Jesse Puljujarvi	Right Wing	1	2.4
Ken Breitenbach	Defender	1	2.4
Brent Meeke	Defender	1	2.5
Jim Hargreaves	Defender	1	2.5
Sean Brown	Left Wing	1	2.6
Johan Lindbom	Left Wing	1	2.6
Kevin Miller	Center	1	2.7
Guy Delparte	Left Wing	1	2.7
Paul Curtis	Defender	1	2.7
Rudy Poeschek	Right Wing	1	2.8
Jerry Engele	Defender	1	2.8
Kelly Buchberger	Center	1	2.9
Ales Pisa	Defender	1	2.9
Brendan Gaunce	Center	1	2.9
Emanuel Viveiros	Defender	1	2.9
Julius Honka	Defender	1	2.9
Pete Goegan	Defender	1	2.9
Peter Ratchuk	Defender	1	2.9
Fred Arthur	Defender	1	3
Larry Zeidel	Defender	1	3
Sean Shanahan	Left Wing	1	3
Tuomas Gronman	Defender	1	3
Nick Tarnasky	Left Wing	1	3.1
Michael McCarron	Right Wing	1	3.2
Ron Attwell	Center	1	3.2
Andreas Thuresson	Right Wing	1	3.3
Brad Miller	Defender	1	3.3
Alain Nasreddine	Defender	1	3.4
Blake Coleman	Center	1	3.4
Dave Tomlinson	Center	1	3.4
Erik Westrum	Center	1	3.4
Bobby Sheehan	Left Wing	1	3.6
Barry Cummins	Defender	1	3.6
Greg Pateryn	Defender	1	3.6
Timo Jutila	Defender	1	3.6
Marcus Sorensen	Right Wing	1	3.7
Micki DuPont	Defender	1	3.7
Patrice Cormier	Center	1	3.7
Ryan Parent	Defender	1	3.7
Tom Thurlby	Defender	1	3.7
Joakim Nordstrom	Center	1	3.8
Anton Blidh	Left Wing	1	3.8
Brian Lashoff	Defender	1	3.8
Christian Thomas	Left Wing	1	3.8
Gary Gambucci	Left Wing	1	3.8
Ilkka Pikkarainen	Right Wing	1	3.8
Jay Leach	Defender	1	3.8
Libor Zabransky	Defender	1	3.8
Max Reinhart	Center	1	3.8
Mike Hurlbut	Defender	1	3.8
Oskars Bartulis	Defender	1	3.8
Gabriel Bourque	Right Wing	1	4
Al Arbour*	Defender	1	4
Bobby Crawford	Right Wing	1	4
Dan Chicoine	Right Wing	1	4
John Hilworth	Defender	1	4
Jozef Balej	Right Wing	1	4
Mike Halmo	Left Wing	1	4
Roger Lemelin	Defender	1	4
Alexei Kudashov	Center	1	4.2
Allan Rourke	Defender	1	4.2
Brad Schlegel	Defender	1	4.2
Bryan Rodney	Defender	1	4.2
Dean Turner	Defender	1	4.2
Denis Tolpeko	Center	1	4.2
Garrett Burnett	Left Wing	1	4.2
Jean-Francois Fortin	Defender	1	4.2
Larry Brown	Defender	1	4.2
Rich Brennan	Defender	1	4.2
Tom Hirsch	Defender	1	4.2
Peter Driscoll	Right Wing	1	4.3
Tomas Jurco	Left Wing	1	4.3
Jamie Heward	Right Wing	1	4.3
Aaron Ness	Defender	1	4.3
Barry Legge	Defender	1	4.3
Bill Plager	Defender	1	4.3
Doug Janik	Defender	1	4.3
Fred Speck	Center	1	4.3
Jim Mair	Defender	1	4.3
John Jakopin	Defender	1	4.3
Kent McDonell	Left Wing	1	4.3
Marty Howe	Defender	1	4.3
Michael Mersch	Left Wing	1	4.3
Moose Vasko	Defender	1	4.3
Tomas Kundratek	Defender	1	4.3
Ty Wishart	Defender	1	4.3
Stephane Richer	Defender	1	4.5
John Scott	Defender	1	4.5
Juha Ylonen	Left Wing	1	4.5
Brent Severyn	Left Wing	1	4.5
Garnet Hathaway	Right Wing	1	4.5
Jamie Masters	Defender	1	4.5
John Hayden	Left Wing	1	4.5
Marek Posmyk	Defender	1	4.5
Martin Marincin	Defender	1	4.5
Martins Karsums	Right Wing	1	4.5
Stefan Matteau	Center	1	4.5
Alexei Ponikarovsky	Right Wing	1	4.8
Bill Kitchen	Defender	1	4.8
Chris Bigras	Defender	1	4.8
Denis Tsygurov	Defender	1	4.8
Gary Morrison	Right Wing	1	4.8
John Quenneville	Center	1	4.8
Patrick Cote	Left Wing	1	4.8
Stu Smith	Defender	1	4.8
Tomas Kloucek	Defender	1	4.8
Victor Bartley	Defender	1	4.8
Zenith Komarniski	Defender	1	4.8
John Lilley	Right Wing	1	5
Alexandre Giroux	Left Wing	1	5
Adam Larsson	Defender	1	5
Chris Pryor	Defender	1	5
Chris Winnes	Right Wing	1	5
Darryl Sly	Defender	1	5
Gerry Goyer	Center	1	5
Jan Mursak	Left Wing	1	5
Jason Podollan	Center	1	5
Jim Anderson	Left Wing	1	5
Joseph Morrow	Defender	1	5
Kyosti Karjalainen	Right Wing	1	5
Len Lunde	Center	1	5
Matt Gilroy	Defender	1	5
Matt Jones	Defender	1	5
Matt Murley	Left Wing	1	5
Miloslav Guren	Defender	1	5
Tommi Santala	Center	1	5
Anthony Bitetto	Defender	1	5.3
Bruce Shoebottom	Defender	1	5.3
Francis Lessard	Right Wing	1	5.3
Frank Beaton	Left Wing	1	5.3
Joey Hishon	Center	1	5.3
Kurt Sauer	Defender	1	5.3
Mark Mancari	Right Wing	1	5.3
Mike Reilly	Defender	1	5.3
Noel Picard	Defender	1	5.3
Tomas Nosek	Left Wing	1	5.3
Scott Arniel	Center	1	5.6
Paul Laus	Right Wing	1	5.6
Mike Watt	Right Wing	1	5.6
Alexander Vasyunov	Left Wing	1	5.6
Alexei Tezikov	Defender	1	5.6
Antti-Jussi Niemi	Defender	1	5.6
Bill Butters	Defender	1	5.6
Daniel Laperriere	Defender	1	5.6
Jay Henderson	Left Wing	1	5.6
Ken Murray	Defender	1	5.6
Kris Vernarsky	Center	1	5.6
Marcel Pronovost*	Defender	1	5.6
Mark Plantery	Defender	1	5.6
Richard Grenier	Center	1	5.6
Rob Globke	Right Wing	1	5.6
Matt Fraser	Left Wing	1	5.9
Antti Miettinen	Center	1	5.9
Kevin Kaminski	Left Wing	1	5.9
Billy Inglis	Center	1	5.9
Brian Hill	Right Wing	1	5.9
Dale Hoganson	Defender	1	5.9
Dave Thomlinson	Left Wing	1	5.9
Eriah Hayes	Right Wing	1	5.9
Garry Swain	Center	1	5.9
Marc Rodgers	Right Wing	1	5.9
Matt Carkner	Defender	1	5.9
Maxim Kuznetsov	Defender	1	5.9
Mike Boland	Defender	1	5.9
Riley Cote	Left Wing	1	5.9
Sam Carrick	Center	1	5.9
Bob MacMillan	Center	1	6.3
Brent Hughes	Defender	1	6.3
Luke Adam	Center	1	6.3
Al Cameron	Defender	1	6.3
Allen Pedersen	Defender	1	6.3
Billy Tibbetts	Right Wing	1	6.3
Brett Sutter	Center	1	6.3
Clayton Stoner	Defender	1	6.3
Dalton Prout	Defender	1	6.3
John Persson	Left Wing	1	6.3
John Tripp	Right Wing	1	6.3
Kimbi Daniels	Center	1	6.3
Liam O'Brien	Center	1	6.3
Maxim Kondratiev	Defender	1	6.3
Mike Iggulden	Center	1	6.3
Morris Stefaniw	Center	1	6.3
Murray Kuntz	Left Wing	1	6.3
Reid Bailey	Defender	1	6.3
Scott Harrington	Defender	1	6.3
Brandon Prust	Right Wing	1	6.7
Mike McNeill	Left Wing	1	6.7
Chris Ferraro	Center	1	6.7
Anton Volchenkov	Defender	1	6.7
Bob Gladney	Defender	1	6.7
Bob LaForest	Right Wing	1	6.7
Dean Malkoc	Defender	1	6.7
Dennis Vaske	Defender	1	6.7
Dmitri Filimonov	Defender	1	6.7
Erik Reitz	Defender	1	6.7
Gary Dillon	Center	1	6.7
Kent Paynter	Defender	1	6.7
Magnus Roupe	Left Wing	1	6.7
Remi Elie	Left Wing	1	6.7
Rick Kessell	Center	1	6.7
Rob Davison	Defender	1	6.7
Rusty Fitzgerald	Center	1	6.7
Ted Nolan	Center	1	6.7
Tomas Vlasak	Left Wing	1	6.7
Tony Cassolato	Right Wing	1	6.7
Gary Sampson	Left Wing	1	7.1
Martin St. Louis	Center	1	7.1
Christian Bordeleau	Center	1	7.1
Mike Watt	Center	1	7.1
David Dziurzynski	Left Wing	1	7.1
Andrew Miller	Center	1	7.1
Brad Brown	Defender	1	7.1
Brent Gretzky	Center	1	7.1
Brian Felsner	Left Wing	1	7.1
Christian Dube	Center	1	7.1
Cody Goloubef	Defender	1	7.1
Dale McTavish	Center	1	7.1
Darren Haydar	Right Wing	1	7.1
Darren Lowe	Right Wing	1	7.1
Derek Forbort	Defender	1	7.1
Douglas Murray	Defender	1	7.1
Evgeny Grachev	Center	1	7.1
Francois Leroux	Left Wing	1	7.1
Garnet Exelby	Defender	1	7.1
Jarod Palmer	Right Wing	1	7.1
Johan Harju	Left Wing	1	7.1
Josh Gratton	Left Wing	1	7.1
Ken Morrow	Defender	1	7.1
Lucas Lessio	Left Wing	1	7.1
Matt Greene	Defender	1	7.1
Maxime Macenauer	Center	1	7.1
Michael Sauer	Defender	1	7.1
Michel Parizeau	Left Wing	1	7.1
Mike Forbes	Defender	1	7.1
Mikko Lehtonen	Defender	1	7.1
Pavel Patera	Center	1	7.1
Peter Wallin	Right Wing	1	7.1
Rudy Poeschek	Defender	1	7.1
Shawn Thornton	Right Wing	1	7.1
Stephane Roy	Center	1	7.1
Tuomas Pihlman	Left Wing	1	7.1
Tyson Strachan	Right Wing	1	7.1
Claude Vilgrain	Right Wing	1	7.7
Steve Larouche	Center	1	7.7
Mike Green	Center	1	7.7
Wade Belak	Right Wing	1	7.7
Warren Peters	Center	1	7.7
Angelo Moretto	Center	1	7.7
Bobby Reynolds	Left Wing	1	7.7
Brendan Smith	Defender	1	7.7
Connor Brickley	Center	1	7.7
Darren Dietz	Defender	1	7.7
Darryl Bootland	Right Wing	1	7.7
Dave Shand	Defender	1	7.7
Donald Dufresne	Defender	1	7.7
Gord Walker	Right Wing	1	7.7
Harold Snepsts	Defender	1	7.7
Jeremy Welsh	Center	1	7.7
Larry Hillman	Defender	1	7.7
Mickey Volcan	Defender	1	7.7
Neil Eisenhut	Center	1	7.7
Oskar Sundqvist	Center	1	7.7
Philip McRae	Center	1	7.7
Ron Jones	Defender	1	7.7
Ryan Flinn	Left Wing	1	7.7
Ryan O'Marra	Center	1	7.7
Scott Timmins	Center	1	7.7
Shaone Morrisonn	Defender	1	7.7
Stephen Johns	Defender	1	7.7
Taylor Chorney	Defender	1	7.7
Zach Sill	Center	1	7.7
Doug Evans	Center	1	8.3
Bob Crawford	Center	1	8.3
Craig Johnson	Center	1	8.3
Jeff Toms	Left Wing	1	8.3
Cam Connor	Center	1	8.3
Andreas Lilja	Defender	1	8.3
Andrew McKim	Center	1	8.3
Bob Collyard	Center	1	8.3
Brad Hunt	Defender	1	8.3
Bronco Horvath	Center	1	8.3
Bruce Bell	Defender	1	8.3
Corey Spring	Center	1	8.3
Dan Currie	Center	1	8.3
Dan Kordic	Left Wing	1	8.3
David Van Der Gulik	Right Wing	1	8.3
Jassen Cullimore	Defender	1	8.3
Jerry D'Amigo	Right Wing	1	8.3
Jim Archibald	Right Wing	1	8.3
John Zeiler	Right Wing	1	8.3
Jonas Frogren	Defender	1	8.3
Kenny Agostino	Left Wing	1	8.3
Kevin Kaminski	Center	1	8.3
Mark Vermette	Right Wing	1	8.3
Martin Sonnenberg	Left Wing	1	8.3
Matt Higgins	Center	1	8.3
Pat Ribble	Defender	1	8.3
Phil Oreskovic	Defender	1	8.3
Pontus Aberg	Left Wing	1	8.3
Rob Ramage	Defender	1	8.3
Russ Walker	Right Wing	1	8.3
Ryan Hamilton	Left Wing	1	8.3
Scott Campbell	Defender	1	8.3
Tyler Bouck	Center	1	8.3
Ville Koistinen	Defender	1	8.3
Willy Brossart	Defender	1	8.3
Eric Chouinard	Center	1	9.1
Rob Zamuner	Center	1	9.1
Nathan Dempsey	Left Wing	1	9.1
Barret Jackman	Defender	1	9.1
Barry Tallackson	Right Wing	1	9.1
Brendan Leipsic	Left Wing	1	9.1
Chris Bourque	Left Wing	1	9.1
Chris Marinucci	Center	1	9.1
Chris Pronger*	Defender	1	9.1
Christian Proulx	Defender	1	9.1
Clayton Beddoes	Center	1	9.1
Darren Archibald	Right Wing	1	9.1
Darren Van Impe	Defender	1	9.1
Dave Hanson	Defender	1	9.1
Dave Lewis	Defender	1	9.1
Derek Joslin	Defender	1	9.1
Dwayne Hay	Right Wing	1	9.1
Eric Beaudoin	Left Wing	1	9.1
Eric Charron	Defender	1	9.1
Frédéric St. Denis	Defender	1	9.1
Geoff Smith	Defender	1	9.1
Hugh Harvey	Center	1	9.1
Jim Paek	Defender	1	9.1
Jim Storm	Left Wing	1	9.1
Kari Eloranta	Defender	1	9.1
Kasperi Kapanen	Right Wing	1	9.1
Keith Osborne	Right Wing	1	9.1
Marc-Andre Gragnani	Left Wing	1	9.1
Martin Simard	Right Wing	1	9.1
Matt Lashoff	Defender	1	9.1
Mike Commodore	Defender	1	9.1
Mikhail Yakubov	Center	1	9.1
Nikita Tryamkin	Defender	1	9.1
Pat Neaton	Defender	1	9.1
Paul Comrie	Center	1	9.1
Paul Szczechura	Center	1	9.1
Rich Pilon	Defender	1	9.1
Richard Zemlak	Right Wing	1	9.1
Ron Hainsey	Defender	1	9.1
Scott Metcalfe	Left Wing	1	9.1
Steve Clippingdale	Left Wing	1	9.1
T.J. Brennan	Defender	1	9.1
Terry Johnson	Defender	1	9.1
Ville Siren	Defender	1	9.1
Vlastimil Kroupa	Defender	1	9.1
Dave Silk	Center	1	10
Dave Capuano	Left Wing	1	10
Joey Tetarenko	Right Wing	1	10
Jay Beagle	Center	1	10
Adam McQuaid	Defender	1	10
Alexander Edler	Defender	1	10
Andrei Skopintsev	Defender	1	10
Blake Pietila	Left Wing	1	10
Brent Severyn	Defender	1	10
Brett Lindros	Right Wing	1	10
Brian McReynolds	Center	1	10
Chris Mueller	Center	1	10
David Warsofsky	Defender	1	10
Doug Barrie	Defender	1	10
Frank Bathe	Defender	1	10
Geordie Robertson	Right Wing	1	10
Glen Seabrooke	Center	1	10
Gord Smith	Defender	1	10
Greg Parks	Center	1	10
Greg Rallo	Center	1	10
Janis Sprukts	Center	1	10
Janne Niskala	Defender	1	10
Jiri Bicek	Left Wing	1	10
Joe Day	Left Wing	1	10
Jujhar Khaira	Left Wing	1	10
Jukka Porvari	Right Wing	1	10
Kenndal McArdle	Left Wing	1	10
Kim Johnsson	Defender	1	10
Kurtis Foster	Defender	1	10
Mario Marois	Defender	1	10
Mark Visheau	Defender	1	10
Michael Chaput	Center	1	10
Paul Brousseau	Right Wing	1	10
Peter Andersson	Defender	1	10
Peter Loob	Defender	1	10
Ray Fortin	Defender	1	10
Rick McCann	Center	1	10
Rob Flockhart	Right Wing	1	10
Rob Flockhart	Center	1	10
Roger Johansson	Defender	1	10
Ron Smith	Defender	1	10
Ryan Bayda	Left Wing	1	10
Sean O'Donnell	Defender	1	10
Stefan Ruzicka	Right Wing	1	10
Steve Montador	Defender	1	10
Ted Crowley	Defender	1	10
Tim Erixon	Defender	1	10
Trevor Lewis	Center	1	10
Zach Redmond	Defender	1	10
Francois Lacombe	Defender	2	1.9
John Schella	Defender	2	1.9
Ray McKay	Defender	2	2
Antti Pihlstrom	Left Wing	2	2.3
Matt Donovan	Defender	2	2.3
Fred Hucul	Defender	2	2.4
Al MacNeil	Defender	2	2.6
Jarno Kultanen	Defender	2	2.6
Jim Watson	Defender	2	2.6
Josh Green	Center	2	2.7
Joe McDonnell	Defender	2	2.7
Serge Payer	Right Wing	2	2.9
Dmitri Tertyshny	Defender	2	2.9
Howard Walker	Defender	2	2.9
Marc-Andre Cliche	Center	2	2.9
Markus Nutivaara	Defender	2	3
